Dreadlock Holiday, basslessons.be2, 2,5, 10cc
Here Without You, basslessons.be2, 6,9, 3 Doors Down
Fernando, basslessons.be2, 10,13, ABBA
Knowing Me Knowing You, basslessons.be2, 14,19, ABBA
One Of Us, basslessons.be2, 20,24, ABBA
Poison Arrow, basslessons.be2, 25,30, ABC
Distraction, basslessons.be2, 31,35, Adam Nitti
Rolling in the Deep, basslessons.be2, 36,37, Adele
Whisper My Name, basslessons.be2, 38,41, Adeline
Colt 45, basslessons.be2, 42,45, Afroman
All I Need, basslessons.be2, 46,49, Air
Race With Devil on Spanish Highway, basslessons.be2, 50,57, Al Di Meola
Georgia Boy, basslessons.be2, 58,71, Al Green
I Can't Get Next To You, basslessons.be2, 72,75, Al Green
Take Me To The River, basslessons.be2, 76,79, Al Green
Boogie Down, basslessons.be2, 80,85, Al Jarreau
Mornin, basslessons.be2, 86,89, Al Jarreau
Little Miss Match, basslessons.be2, 90,91, Alain Caron
The Bump, basslessons.be2, 92,93, Alain Caron
You Oughta Know, basslessons.be2, 94,99, Alanis Morrissette
Black Velvet, basslessons.be2, 100,107, Alannah Myles
Blue Monday Hangover, basslessons.be2, 108,113, Albert Collins
Give Me My Blues, basslessons.be2, 114,119, Albert Collins
If You Love Me Like You Say, basslessons.be2, 120,129, Albert Collins
Born Under A Bad Sign, basslessons.be2, 130,131, Albert King
I'll Play The Blues For You, basslessons.be2, 132,140, Albert King
Bassex, basslessons.be2, 141,142, Alberto Rigoni
The Unforgiven, basslessons.be2, 143,144, Alboroise Raging Fyah
Nutshell, basslessons.be2, 145,148, Alice in Chains
No Roots, basslessons.be2, 149,152, Alice Merton
Butterflyz, basslessons.be2, 153,156, Alicia Keys
If I Ain't Got You, basslessons.be2, 157,162, Alicia Keys
Fascination, basslessons.be2, 163,168, Alphabeat
Living On My Own, basslessons.be2, 169,174, Ambrosia
You're the Only Woman, basslessons.be2, 175,180, Ambrosia
This is the Life, basslessons.be2, 181,184, Amy MacDonald
Our Day Will Come, basslessons.be2, 185,188, Amy Winehouse
Rehab, basslessons.be2, 189,191, Amy Winehouse
Come Down, basslessons.be2, 192,192, Anderson Paak
Been So Long, basslessons.be2, 193,198, Anita Baker
Body and Soul, basslessons.be2, 199,206, Anita Baker
Caught Up In the Rapture, basslessons.be2, 207,210, Anita Baker
Fairy Tales, basslessons.be2, 211,220, Anita Baker
Giving You the Best That I Got, basslessons.be2, 221,226, Anita Baker
Just Because, basslessons.be2, 227,232, Anita Baker
Sweet Love, basslessons.be2, 233,236, Anita Baker
Whatever It Takes, basslessons.be2, 237,240, Anita Baker
Ring My Bell, basslessons.be2, 241,244, Anita Ward
Good God, basslessons.be2, 245,248, Anouk
Jerusalem, basslessons.be2, 249,254, Anouk
E Chiammalo, basslessons.be2, 255,255, Anthony
That Ain't Fund, basslessons.be2, 256,256, Anthony Vitti
The Promise, basslessons.be2, 257,262, Arcadia
Bridge Over Troubled Water, basslessons.be2, 263,268, Aretha Franklin
Day Dreaming, basslessons.be2, 269,272, Aretha Franklin
See Saw, basslessons.be2, 273,276, Aretha Franklin
Hurt, basslessons.be2, 277,280, Arlo Parks
I a Rebel Soul, basslessons.be2, 281,285, Aswad
So Into You, basslessons.be2, 286,289, ARS
Baby Love, basslessons.be2, 290,295, Aurra
A Love Of Your Own, basslessons.be2, 296,299, Average White Band
I'm The One, basslessons.be2, 300,303, Average White Band
Person To Person, basslessons.be2, 304,311, Average White Band
Love Shack, basslessons.be2, 312,317, B52s
The Night They Drove Old Dixie Down, basslessons.be2, 318,323, The Band
So Good, basslessons.be2, 324,325, Band Bang
Son of Shaft, basslessons.be2, 326,329, Bar Kays
Soul Finger, basslessons.be2, 330,331, Bar Kays
Too Hot To Stop, basslessons.be2, 332,337, Bar Kays
Can't Get Enough of Your Love, basslessons.be2, 338,341, Barry White
Let the Music Play, basslessons.be2, 342,343, Barry White
You're the First Last My Everything, basslessons.be2, 344,349, Barry White
I Want You So Bad, basslessons.be2, 350,356, BB King
Key to My Kingdom, basslessons.be2, 357,360, BB King
The Thrill Is Gone, basslessons.be2, 361,366, BB King
Good Vibrations, basslessons.be2, 367,368, Beach Boys
Song For Whoever, basslessons.be2, 369,374, Beautiful South
How Deep Is Your Love, basslessons.be2, 375,380, Bee Gees
Night Fever, basslessons.be2, 381,384, Bee Gees
Stayin Alive, basslessons.be2, 385,388, Bee Gees
Tragedy, basslessons.be2, 389,394, Bee Gees
You Should Be Dancing, basslessons.be2, 395,400, Bee Gees
Heaven Is a Place on Earth, basslessons.be2, 401,404, Belinda Carlisle
Imagination, basslessons.be2, 405,408, Belouis Some
Stand By Me, basslessons.be2, 409,409, Ben E King
Steal My Kisses, basslessons.be2, 410,413, Ben Harper
With My Own Two Hands, basslessons.be2, 414,417, Ben Harper
Take My Breath Away, basslessons.be2, 418,421, Berlin
Haboglabotribin, basslessons.be2, 422,425, Bernard Wright
Rockin at the Roundhouse, basslessons.be2, 426,432, Bert Weedon
I Can't Stop, basslessons.be2, 432,437, Betty Lou Landreth
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
Fernando, basslessons.be2, 100,103, cccc
