All Of Me, DJANGOIJ,3,4
Bossa Dorado, DJANGOIJ,5,6
Coquette, DJANGOIJ,7,8
Daphne, DJANGOIJ,9,10
Dark Eyes (Les Yeux Noirs), DJANGOIJ,11,11
Djangology, DJANGOIJ,12,13
Douce Ambiance, DJANGOIJ,14,15
Honeysuckle Rose, DJANGOIJ,16,17
I Can't Give You Anything But Love, DJANGOIJ,18,19
I'll See You in My Dreams, DJANGOIJ,20,21
It Had to be You, DJANGOIJ,22,23
J'Attendrai, DJANGOIJ,24,25
Je Suis Seul ce Soir, DJANGOIJ,26,27
Joseph Joseph (modern), DJANGOIJ,28,29
Joseph Joseph (trad), DJANGOIJ,30,31
Lady be Good, DJANGOIJ,32,33
Manoir de Mes Reves, DJANGOIJ,34,35
Minor Blues (Blues en Mineur), DJANGOIJ,36,36
Minor Blues (simplified), DJANGOIJ,37,37
Minor Switn, DJANGOIJ,38,39
Nuages, DJANGOIJ,40,41
Sweet Georgia Brown, DJANGOIJ,42,43
Swing 39, DJANGOIJ,44,47
Swing 42, DJANGOIJ,48,49
Troublant Bolero, DJANGOIJ,50,51
What it This Thing Called Love, DJANGOIJ,52,53
