Affirmation,16,16
Airegin,17,17
All Or Nothing At All,444,445
Always There (Laws & Jeffrey),18,19
Ana Maria,20,21
Angel Eyes,22,23
Anthropology,24,24
Autumn Leaves,25,25
Baby I Love You,26,27
Basin Street Blues,28,28
Beautiful Love,29,29
Bernie's Tune,30,30
Bird Food (Coleman),31,31
Black Ice,32,33
Black Narcissus,34,35
Blizzard Of Lies,36,37
Blue Bossa,38,38
Blue Daniel,39,39
Blues Connotation (Coleman),40,40
Blues On The Corner,41,41
Boogie Down,44,48
Both Sides Of The Coin,50,51
Bouncing With Bud,52,53
Breakfast Wine,54,55
Breakin' Away,56,58
But Beautiful,59,59
Chain Of Fools,60,61
Change Of Mind (Mintzer),62,63
Chega De Saudade (No More Blues),64,65
Chelsea Bridge,66,66
Come Sunday,67,67
Compared To What,68,69
Creek (Brasil),71,71
Crystal Love (Ozone),72,73
Cubano Chant,74,75
Darn That Dream,76,76
Dearly Beloved,77,77
Delevans,78,79
Desafinado,80,81
Desire,82,83
Dig,85,85
Dindi,86,87
Don't Go To Strangers,89,89
Do Nothin' Till You Hear From Me,446,446
Don't Get Around Much Anymore,447,447
Doors (Nock),90,90
Early Autumn,91,91
Easy,92,93
Eighty One,94,95
Elm (Beirach),96,97
Endangered Species (Shorter),98,103
ESP,105,105
Everything Happens To Me,106,107
Fall,108,108
Farmer's Market,109,109
Favela,110,110
Feel Like Makin' Love,111,111
Fire,112,112
First Light,113,113
Foolkiller,114,114
Footprints,115,115
Four,116,117
Four Brothers,118,118
Four On Six,119,119
Friends And Strangers,120,121
Funkallero,123,123
Gaviota (Fischer),124,125
Gee Baby Ain't I Good To You,127,127
Gemini,128,132
Gloria's Step,133,133
Goin' Home (Ferrante),134,137
Gone With The Wind,139,139
Good Morning Heartache,448,448
The Goodbye Look,140,143
Guaruja (Brecker),144,145
Hallucinations,146,147
Haunted Ballroom,149,149
Havona,150,151
Here's That Rainy Day,153,153
Hideaway,154,155
I Love Lucy,157,157
I Mean You,158,159
I Should Care,160,160
I Thought About You,161,161
If I Were A Bell,162,163
If You Never Come To Me (Inutil Paisagem),165,165
I'll Take Romance,166,167
I'm All Smiles,168,169
I'm Old Fashioned,170,170
Imagination,171,171
In Walked Bud,173,173
Island (The),174,175
It Happens Every Day,176,177
Jersey Bounce,179,179
Joshua,180,181
Keep That Same Old Feeling,182,183
Killing Me Softly With His Song,185,185
La Samba (Obiedo),186,187
La Vida Feliz,188,191
Lady Bird,192,193
Last First (Peacock),194,195
Last Train From Overbrook,196,196
Laurie,197,197
Let Me Be The One,198,199
Let's Go Dancin',200,201
Like Someone In Love,202,202
Line For Lyons,203,203
Little Sunflower,204,204
Little Tear (A),205,205
Little Waltz,206,206
Long Ago & Far Away,207,207
Lover Came On Stealthy Fingers,208,209
Love Dance,210,211
Lush Life,212,213
Madagascar,214,215
Make Me A Memory (Sad Samba),217,217
Matinee Idol (Ferrante),218,219
Mercy Mercy Mercy,220,221
Midnight Sun,222,222
The Midnight Sun Will Never Set,223,223
Misty,449,449
Modadji,224,225
Monk's Mood,227,227
Monkey's Uncle (Foreman),228,232
Moonlight In Vermont,233,233
Mornin',234,235
Morning Dance,236,237
Mr. Clean (Irvine),238,239
Mr. Gone,240,241
My Attorney Bernie,242,243
My Romance,244,244
My Shining Hour,245,245
Nature Boy,246,246
Nefertiti,247,247
Never Givin' Up,248,250
Never Make Your Move Too Soon,252,253
Nigerian Marketplace,254,254
Nightlake (Beirach),255,255
No Me Esqueca (Henderson),256,257
Not Ethiopia,258,259
Nothing Personal,260,261
Off Minor,262,263
Oleo,264,264
Once I Loved (Amor Em Paz) (Love In Peace),265,265
One Family,266,267
One For My Baby (And One More For The Road),268,269
Out Of This World,270,271
Oz (Narell),272,273
Papa Lips (Mintzer),274,275
Partido Alto (Bertrami),276,279
Pent Up House,280,281
Plaza Real,282,287
Polka Dots And Moonbeams,288,289
Portrait Of Tracy,290,291
Promenade (Zeitlin),292,293
Put It Where You Want It,294,295
P.Y.T. (Pretty Young Thing),296,297
Quintessence,298,298
Rapture (Land),299,299
Re: Person I Knew,301,301
Reincarnation Of A Lovebird,302,303
Remember Rockefeller At Attica,305,305
Rio,306,307
River People,309,311
Robbins Nest,312,313
Ruby My Dear,314,315
Rush Hour,316,317
Safari,318,321
Sandu,322,322
Satin Doll,323,323
Save Your Love For Me,324,325
Search For Peace,327,327
Self-Portrait In Three Colors,328,329
Shaker Song,330,331
Shawnuff,332,333
Simple Samba,334,335
Skylark,336,336
Sleepin' Bee (A),337,337
Small Day Tomorrow,338,339
Solar,340,340
Some Day My Prince Will Come,341,341
Song For Lorraine,342,343
Song Is You (The),344,345
Sonja's Sanfona (Haslip),346,349
Soul Sauce (Guarachi Guaro),350,350
Speak Low,450,451
Speak No Evil,351,351
Spiral,352,353
St. Thomas,355,355
Sticky Wicket,356,359
Stormy Weather,452,453 
Street Life,360,361
Sudden Samba,363,363
Sunrunner (James),364,365
Take The A Train,366,367
Tenderly,368,368
Theme For Ernie,369,369
There Will Never Be Another You,370,371
This Masquerade,373,373
The Three Marias,374,381
Three Views Of A Secret,382,383
Time Remembers One Time Once,384,384
Triste,385,385
Tune Up,387,387
Turn Your Love Around,388,389
Twisted,390,391
Unit 7,392,393
Up Jumped Spring,395,395
Up With The Lark,396,397
Velas,398,399
Very Early,400,400
Voyage,401,401
Waltz For Debby,402,403
Waltz New,404,404
Watch What Happens,405,405
Waterwings (Grusin),406,407
Wave,408,409
Way You Look Tonight (The),410,411
Weaver Of Dreams (A),413,413
We'll Be Together Again,414,414
Well You Needn't,415,415
West Coast Blues,416,416
Where Is Love?,417,418
Who Can I Turn To,419,419
Wildflower,420,420
Willow Weep For Me,421,421
Witchcraft,422,422
Yes And No,423,423
Yesterdays,424,424
Young Rabbits (Henderson),425,425
Your Mind Is On Vacation,426,427
