All Of Me, swingjam,1,1
Bei Mir Bist Du Shon, swingjam,2,3
Blues My Naughty Sweetie Gives To Me, swingjam,4,4
C Jam Blues, swingjam,5,5
Easy Does It, swingjam,6,6
Goody Goody, swingjam,7,7
Hallelujah I Love Her So, swingjam,8,9
Honeysuckle Rose, swingjam,10,10
It's Only a Paper Moon, swingjam,11,11
Joshua Fit the Battle of Jericho, swingjam,12,12
Jump Jive An' Wail, swingjam,13,14
Kansas City Riffs, swingjam,15,15
Lady Be Good, swingjam,16,16
Lester Leaps In, swingjam,17,17
Moten Swing, swingjam,18,18
One O'Clock Jump, swingjam,19,19
Rose Room, swingjam,20,20
Sent For You Yesterday, swingjam,21,21
Shake That Thing, swingjam,22,22
Squatty Roo, swingjam,23,23
Stompin' At the Savoy, swingjam,24,24
When I Get Low I Get High, swingjam,25,25
When the Saints Go Marching In, swingjam,26,26
Why Don't You Do Right, swingjam,27,27
